                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.067,                0.88096,                 1.2424,                0.71987,                0.77684,                0.80847,                0.56604,                 1.0802,                 1.1149,                 1.3141,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.0669,                 0.8886,                 1.2558,                 0.8646,                0.80842,                0.88454,                0.61119,                 1.0657,                0.83148,                 1.3007,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.0218,                0.83953,                  1.224,                0.86086,                0.78211,                0.87721,                0.61334,                 1.0491,                0.84107,                 1.2794,               0.000614,               0.000614,               0.000614
                     38,                  1.014,                0.83778,                  1.226,                0.80138,                0.79158,                0.85525,                0.59508,                 1.0454,                0.91046,                 1.2857,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.0124,                0.84196,                 1.2309,                0.83372,                0.77789,                0.85028,                0.59817,                 1.0586,                0.95908,                  1.296,              0.0005348,              0.0005348,              0.0005348
                     40,                0.99698,                0.79795,                 1.2071,                0.85331,                0.77263,                0.87214,                0.61133,                 1.0694,                0.91356,                 1.3092,              0.0004952,              0.0004952,              0.0004952
                     41,                0.99112,                  0.757,                 1.2018,                0.83957,                0.79263,                0.86133,                0.60113,                  1.069,                0.88092,                  1.316,              0.0004556,              0.0004556,              0.0004556
                     42,                0.92674,                0.68853,                 1.1699,                0.84953,                0.80737,                0.87603,                 0.6134,                 1.0446,                0.86745,                 1.2911,               0.000416,               0.000416,               0.000416
                     43,                0.89997,                0.64401,                 1.1396,                0.86668,                0.80737,                0.90247,                0.63351,                 1.0131,                0.81279,                 1.2603,              0.0003764,              0.0003764,              0.0003764
                     44,                0.89532,                0.66128,                 1.1556,                0.83052,                0.77377,                0.87008,                0.61445,                0.98401,                0.91998,                 1.2505,              0.0003368,              0.0003368,              0.0003368
                     45,                0.88888,                0.64456,                  1.157,                0.88535,                0.79895,                0.90297,                0.65088,                0.98875,                0.79335,                 1.2628,              0.0002972,              0.0002972,              0.0002972
                     46,                0.87663,                0.62342,                 1.1447,                0.88079,                0.80211,                0.87503,                0.63233,                0.98538,                0.84701,                 1.2637,              0.0002576,              0.0002576,              0.0002576
                     47,                0.87181,                0.62827,                 1.1335,                0.87079,                0.80316,                0.88879,                0.64571,                0.96446,                0.82723,                 1.2333,               0.000218,               0.000218,               0.000218
                     48,                0.84836,                0.59993,                 1.1212,                 0.8734,                0.78432,                0.88601,                 0.6441,                0.96655,                0.81736,                 1.2426,              0.0001784,              0.0001784,              0.0001784
                     49,                 0.8383,                0.58494,                 1.1134,                0.84034,                0.80332,                0.88189,                0.63146,                0.97973,                0.83195,                 1.2542,              0.0001388,              0.0001388,              0.0001388
                     50,                0.83496,                0.57408,                 1.1054,                0.84116,                0.80842,                0.88708,                0.64404,                0.96756,                0.82162,                 1.2384,               9.92e-05,               9.92e-05,               9.92e-05
